Protocol,Packet Length,Packet Type,Traffic Type,Malware Indicators,Anomaly Scores,Alerts/Warnings,Attack Type,Attack Signature,Action Taken,Severity Level,Network Segment,IDS/IPS Alerts,anomaly
2,811,1,1,0,45.33,1,2,1,0,2,2,1,1
0,1444,0,2,0,91.08,1,1,0,2,1,0,0,-1
2,423,0,0,1,45.27,0,1,1,2,1,1,1,1
1,744,1,2,0,51.59,1,2,1,1,1,0,0,1
1,173,0,2,0,73.69,0,1,0,1,1,2,0,1
0,340,1,2,1,27.25,0,1,0,0,0,1,1,1
0,1082,0,1,1,81.43,0,2,0,2,1,0,1,1
0,876,0,0,1,89.28,1,1,0,0,1,0,1,1
2,1319,1,0,0,43.95,1,1,0,1,2,1,1,1
1,976,1,0,0,1.31,0,0,0,0,2,0,0,-1
2,985,0,2,1,98.14,0,2,1,2,0,0,1,-1
0,902,1,1,0,84.95,1,2,0,2,2,1,0,1
2,889,0,2,0,14.56,1,2,1,0,2,2,1,-1
1,1492,1,2,1,31.8,1,2,1,2,2,1,1,1
2,787,0,0,0,3.7,0,2,1,2,1,0,1,1
0,1070,0,2,1,97.64,1,1,1,2,2,2,1,1
2,1455,0,1,0,58.19,0,0,0,1,0,2,1,1
1,640,0,2,1,10.44,0,1,0,0,2,2,0,1
0,1178,1,2,0,5.39,0,2,1,1,0,2,0,1
0,158,1,2,0,91.79,1,1,0,1,2,1,1,1
0,1409,1,1,0,70.26,0,1,1,1,1,2,0,1
2,866,0,0,1,86.55,1,2,0,1,2,1,1,1
1,343,1,2,0,11.11,1,2,1,0,2,2,1,1
0,531,1,1,1,71.02,1,0,1,1,1,2,1,1
0,1387,0,0,1,51.68,1,2,1,1,2,2,0,1
1,715,0,2,1,43.23,1,0,0,1,0,2,1,1
0,765,0,0,0,47.31,0,1,0,0,1,2,0,1
1,646,1,0,1,77.67,1,1,1,1,1,2,1,1
1,1142,0,2,0,20.66,0,1,1,1,1,0,1,1
0,1005,0,1,0,90.92,0,2,0,0,1,2,0,1
0,984,1,1,1,64.89,1,0,0,2,1,1,1,1
2,512,1,2,0,77.07,0,1,0,0,1,0,1,1
2,1191,1,0,0,53.38,1,1,0,2,1,1,0,1
0,527,0,0,1,22.74,1,0,0,2,0,0,1,1
1,1388,0,1,1,81.87,1,2,1,0,0,1,1,1
1,425,0,0,1,98.62,1,0,0,2,0,0,0,-1
2,491,0,1,1,14.41,1,0,1,0,0,2,1,1
0,668,0,2,0,41.28,0,0,1,1,2,0,0,1
1,1127,1,0,1,36.28,1,0,1,2,0,1,0,1
1,1292,0,1,0,61.3,0,2,0,1,0,0,1,1
2,1026,1,0,0,36.95,0,1,0,1,2,1,0,1
1,712,0,1,0,55.44,0,1,1,2,0,0,0,1
0,1310,1,2,1,69.73,1,2,0,1,2,1,0,1
2,1409,1,2,0,2.88,1,1,0,2,2,2,0,-1
2,939,1,2,0,23.53,0,0,1,0,2,1,1,1
2,361,0,0,1,97.16,0,1,1,0,1,1,1,1
0,723,0,1,1,32.02,1,2,1,1,2,0,1,1
1,1409,1,0,0,2.26,0,2,1,0,2,1,0,1
0,354,0,2,1,10.59,0,0,0,1,1,2,0,1
2,876,0,1,0,4.38,0,2,0,2,2,1,1,1
2,254,1,2,1,75.09,1,0,0,1,1,2,0,1
2,1100,1,1,1,28.13,0,1,0,0,1,0,0,1
1,574,1,1,1,26.7,0,0,0,1,1,0,1,1
0,167,0,0,1,98.88,1,1,0,2,1,2,0,1
2,814,0,0,0,81.92,1,2,0,2,1,2,1,1
2,121,1,1,1,31.48,1,2,0,1,0,0,1,1
2,863,0,2,0,60.18,1,2,1,1,1,2,0,1
0,187,1,2,1,70.62,0,1,1,2,0,2,0,1
2,1347,1,0,1,81.66,0,0,0,0,0,1,1,1
0,709,0,1,1,70.34,0,2,0,0,2,2,1,1
0,591,0,0,0,1.19,1,1,0,2,1,0,1,1
1,1043,1,0,1,20.86,0,2,0,1,2,1,1,1
2,226,0,1,1,46.97,0,0,1,2,1,1,1,1
0,631,0,1,1,23.82,1,2,0,1,0,0,1,1
0,609,0,1,0,56.0,0,0,1,2,2,0,1,1
0,1132,1,2,0,15.8,0,1,1,1,0,0,0,1
0,941,1,1,0,51.0,1,0,1,2,0,2,1,1
0,525,1,2,1,28.61,0,1,1,2,0,1,1,1
2,706,0,2,0,68.84,1,1,1,2,1,1,1,1
2,1438,0,0,1,61.62,1,0,1,2,1,1,0,1
1,558,0,0,1,64.44,1,0,1,1,2,0,1,1
0,1485,1,0,0,11.94,0,0,1,1,1,2,0,-1
2,1103,0,0,1,91.04,0,1,0,1,0,1,0,1
0,192,1,1,1,83.16,0,0,0,2,0,1,1,1
2,1307,1,0,1,52.98,0,0,1,1,0,0,0,1
0,882,0,1,1,20.25,0,1,1,2,0,2,0,1
1,1364,0,2,1,78.06,1,2,0,0,2,0,0,1
1,1368,1,1,0,0.12,1,1,1,2,1,2,1,1
1,418,1,2,0,87.11,1,0,1,0,2,0,0,1
0,878,0,2,1,13.21,1,0,1,0,0,1,1,1
2,1358,1,2,1,17.75,1,1,0,1,1,2,1,1
2,721,1,2,1,7.38,1,0,0,1,1,2,0,1
1,1084,0,0,0,53.02,1,2,0,2,1,0,0,1
2,399,0,2,1,53.91,0,0,1,2,0,0,1,1
0,980,1,1,0,27.15,0,0,1,0,1,0,1,1
2,1144,1,1,0,69.65,1,2,0,1,2,0,0,1
1,423,0,1,1,29.25,0,2,1,0,1,2,1,1
0,580,1,1,0,20.55,1,0,0,1,1,2,1,1
0,770,1,1,1,85.22,0,1,1,2,0,0,0,1
2,308,1,0,0,40.87,0,1,0,2,2,0,0,1
0,438,1,0,0,19.3,0,1,1,0,1,0,0,1
1,587,0,0,0,53.08,0,0,1,0,1,0,0,1
1,665,0,0,0,50.59,1,2,0,1,1,2,0,1
2,717,0,2,0,71.35,0,0,1,1,1,2,0,1
0,1407,0,1,0,88.21,1,0,1,2,0,0,1,-1
1,1090,1,1,1,2.09,0,1,1,1,1,2,1,1
0,381,0,1,0,67.74,0,2,0,2,0,1,0,1
0,802,1,1,1,40.88,0,1,1,1,0,2,0,1
1,574,1,1,0,68.95,1,0,0,1,0,1,0,1
2,1152,0,0,1,47.58,1,1,0,1,1,1,1,1
2,350,1,0,1,28.97,0,2,1,1,1,1,0,1
1,1240,1,0,0,8.21,1,2,1,0,1,0,1,1
1,591,1,2,1,12.55,1,0,0,0,1,1,0,1
1,497,0,0,1,14.2,0,2,0,1,0,0,0,1
2,185,0,2,1,42.76,0,0,0,2,2,2,0,-1
1,72,1,1,1,6.09,1,1,0,0,0,1,0,1
1,363,1,0,1,0.19,1,0,0,2,1,0,0,-1
1,305,0,0,0,59.04,1,2,1,0,1,2,1,1
2,1201,1,1,0,7.62,1,2,0,0,2,1,1,1
2,638,1,2,1,33.73,0,0,1,1,1,2,1,1
0,1428,1,0,0,23.75,1,0,0,2,1,2,0,1
1,863,0,0,0,81.2,1,2,0,0,1,0,0,1
0,283,1,1,1,43.69,1,0,0,2,1,1,1,1
1,556,0,0,0,71.76,1,2,0,2,0,1,0,1
1,482,0,0,0,93.61,1,0,1,2,1,2,1,1
1,1158,0,1,1,38.07,0,1,0,0,1,0,0,1
2,791,0,2,0,59.34,0,1,1,2,0,2,0,1
0,956,1,2,1,12.72,0,1,0,2,1,0,1,1
2,195,0,0,0,88.25,1,2,1,0,0,2,1,-1
1,960,1,1,0,13.57,0,2,1,0,0,1,0,1
2,670,0,0,1,73.58,1,2,0,2,2,2,1,1
1,432,1,0,1,30.26,0,0,0,1,1,1,1,1
2,558,0,1,0,84.4,1,2,1,2,0,0,1,1
2,969,0,1,0,48.49,1,1,1,2,1,2,1,1
2,1089,1,2,0,76.24,1,1,0,2,2,0,0,1
1,992,0,1,1,41.04,1,1,1,1,0,1,1,1
2,1418,1,2,1,96.96,0,2,1,0,1,1,1,-1
2,1483,0,1,1,63.6,1,0,1,0,2,2,0,-1
1,1104,1,1,0,64.34,0,0,1,2,2,1,1,1
0,514,1,2,1,52.99,0,1,1,1,1,0,0,1
2,636,0,1,0,84.7,0,1,1,2,2,1,0,1
2,358,1,2,0,11.33,0,1,1,2,2,1,1,1
2,1061,0,1,0,4.59,0,1,1,0,0,2,0,1
2,107,0,1,0,56.53,0,2,1,1,0,1,0,1
2,911,1,2,1,77.28,0,1,1,0,1,0,0,1
0,1065,0,2,1,27.08,0,0,1,1,0,2,1,1
1,932,0,0,0,78.61,0,2,0,0,1,1,0,1
1,308,1,0,0,47.7,0,1,1,1,1,0,1,1
2,840,0,1,1,38.2,0,1,1,0,2,1,1,1
1,802,1,0,1,93.93,0,2,0,2,2,1,1,1
1,1163,1,0,0,29.42,0,1,0,1,0,1,1,1
2,798,0,2,1,53.56,0,2,1,1,1,1,0,1
2,1335,0,2,0,82.65,1,1,0,2,1,1,0,1
1,452,1,1,0,71.97,0,0,0,1,1,2,1,1
1,195,1,1,0,96.27,0,0,1,2,0,2,1,1
2,1436,0,1,1,68.14,0,1,1,0,0,0,1,1
0,745,1,1,1,92.72,0,1,1,0,1,2,1,1
0,786,0,2,0,31.48,1,1,1,1,1,2,1,1
1,1073,1,0,0,58.78,1,0,1,2,1,1,1,1
0,1263,1,0,0,83.48,0,0,0,0,0,0,1,-1
1,448,1,2,1,47.77,1,0,0,1,0,2,0,1
2,1135,1,2,1,5.52,0,2,1,0,2,2,1,-1
0,1481,0,2,1,84.48,1,1,0,2,0,1,0,1
0,666,0,2,0,78.02,0,0,0,0,1,0,1,1
0,382,1,2,0,54.7,1,2,1,2,2,1,1,1
2,287,0,1,0,19.4,0,2,1,0,2,1,1,1
1,1230,0,1,0,72.02,1,0,1,1,0,0,1,1
1,782,0,2,0,75.69,0,0,1,2,1,0,0,1
0,1029,1,1,1,18.39,0,0,0,1,2,1,0,1
0,603,1,1,1,89.48,0,2,0,1,0,0,0,1
1,160,1,1,1,70.46,1,0,0,2,2,2,0,1
1,1303,0,1,1,3.03,0,2,0,1,1,1,0,1
2,924,1,1,1,41.48,0,2,0,2,0,0,1,1
0,1229,0,1,1,37.26,1,1,0,2,1,0,0,1
2,1247,1,1,1,51.6,1,1,1,0,0,2,0,1
2,457,1,1,1,48.87,0,2,1,0,2,2,0,1
1,553,1,2,1,40.65,1,2,1,2,1,2,1,1
1,1458,0,0,0,90.68,1,1,0,0,0,1,0,1
1,628,0,0,0,18.88,1,1,0,1,1,0,1,1
1,108,0,0,0,53.49,1,2,1,1,2,1,1,1
1,899,0,2,1,62.22,1,1,0,2,2,1,1,1
2,704,1,2,0,28.02,0,2,1,1,1,0,0,1
1,791,1,1,0,66.54,1,1,0,1,2,0,1,1
1,1229,1,2,1,58.91,0,0,1,0,0,2,0,1
0,325,0,0,1,11.23,1,0,0,1,1,2,0,1
0,835,0,2,1,47.42,1,1,1,2,1,0,1,1
1,721,1,1,0,64.61,1,2,0,0,1,2,1,1
0,1162,0,1,0,22.56,1,2,1,2,1,2,0,1
1,920,0,1,0,70.63,1,0,0,0,0,1,1,1
2,635,1,0,1,67.04,1,1,0,2,1,1,0,1
1,861,0,2,1,45.55,1,0,1,1,2,0,1,1
0,1443,1,2,0,8.69,0,0,1,2,1,2,0,-1
2,362,0,0,0,76.93,1,2,1,2,2,2,1,1
0,680,1,1,0,21.47,0,0,1,1,1,0,1,1
0,1419,0,1,1,29.27,0,1,0,1,0,1,0,1
0,749,0,0,1,9.68,0,2,0,0,1,2,1,1
1,1405,1,1,1,34.53,1,1,0,2,2,1,0,1
0,1225,1,1,1,49.38,0,2,0,2,0,1,0,1
2,461,0,2,1,82.89,1,2,0,1,0,1,0,1
2,1428,1,2,0,24.65,1,0,0,0,2,1,1,1
1,1102,0,1,1,19.29,0,1,1,0,1,0,0,1
1,1409,1,2,0,45.81,0,2,1,2,0,2,0,1
0,960,1,2,1,97.76,1,0,1,2,0,2,1,-1
0,437,0,2,0,51.66,0,1,0,1,0,0,0,1
2,179,0,1,1,73.21,0,0,1,0,0,1,0,1
1,1418,0,2,1,68.12,1,1,0,0,1,1,0,1
1,973,0,2,1,33.75,0,2,0,1,1,0,1,1
1,1147,1,0,1,45.51,1,0,0,1,0,2,0,1
0,516,1,0,0,88.58,1,2,0,2,1,0,1,1
1,1128,0,2,1,9.9,1,1,0,0,1,0,1,1
2,635,1,1,0,79.59,1,0,0,1,1,0,1,1
2,1009,1,1,1,44.95,1,1,0,1,2,1,1,1
0,104,0,2,1,59.23,1,1,1,2,0,1,0,1
1,98,0,0,0,99.08,0,0,0,1,0,1,1,1
0,1352,1,0,1,10.08,1,2,0,0,0,1,1,1
2,163,1,1,0,69.26,1,2,0,2,0,1,0,1
0,765,0,2,0,85.32,1,1,0,1,0,1,1,1
0,802,0,1,0,33.1,0,2,0,1,0,1,1,1
1,1166,0,0,0,69.13,0,0,1,2,0,1,0,1
0,594,0,2,1,64.71,0,1,1,1,0,2,1,1
1,1343,1,0,1,25.5,1,0,0,2,1,1,0,1
0,601,1,1,0,5.69,1,1,1,2,2,0,0,1
2,1457,0,0,0,89.52,0,0,0,1,2,0,0,-1
2,886,1,2,1,82.38,1,2,0,0,2,1,1,1
1,1066,0,0,1,46.34,1,0,0,0,2,2,0,1
0,748,0,0,1,65.36,0,2,1,0,1,0,0,1
1,866,0,2,0,67.26,1,1,1,2,0,2,0,1
2,1188,0,1,0,36.73,0,2,1,1,2,2,0,1
2,332,0,0,0,29.11,1,2,1,0,0,0,0,1
1,670,0,1,0,79.44,1,1,0,1,1,1,1,1
1,952,1,1,1,55.87,1,2,1,1,0,0,0,1
2,1368,0,2,1,25.92,1,1,0,2,0,2,1,1
0,633,0,1,1,36.51,0,2,0,0,1,0,0,1
0,674,0,1,1,30.17,1,1,0,0,1,1,0,1
0,76,1,2,1,88.79,0,1,0,1,0,2,0,1
1,389,0,1,1,32.75,1,0,0,1,1,0,0,1
0,125,0,1,1,52.09,1,1,0,0,1,1,0,1
2,1062,1,0,0,18.37,1,0,1,0,0,0,0,1
1,1364,0,1,0,71.51,1,0,0,2,2,2,1,1
2,777,1,2,1,94.87,1,1,0,2,2,1,1,1
0,1034,0,0,1,27.19,1,1,0,1,1,1,1,1
1,461,0,2,1,5.14,0,2,0,2,0,2,1,1
0,1493,1,1,0,44.93,0,1,1,1,0,1,1,1
1,1071,1,1,1,38.48,1,0,1,1,1,1,1,1
1,784,1,0,0,7.36,1,1,1,2,2,0,0,1
1,140,0,2,1,14.28,0,2,1,1,0,0,1,1
0,406,0,0,0,25.05,1,2,1,1,1,0,0,1
1,1428,1,2,0,44.26,0,1,0,1,1,2,1,1
0,678,1,2,0,91.24,1,1,0,0,1,1,0,1
0,533,1,0,0,73.74,0,1,1,0,0,1,1,1
0,141,1,0,1,2.22,0,2,0,2,1,1,1,-1
0,474,0,0,1,57.07,1,2,0,0,2,2,0,-1
0,1400,1,1,1,69.8,0,0,1,0,2,2,0,1
2,306,1,0,0,13.94,1,2,0,2,1,1,1,1
1,1190,1,1,1,23.45,0,1,1,2,0,2,1,1
1,1278,1,0,1,62.55,1,1,1,1,0,1,0,1
0,1136,0,2,1,61.63,1,1,1,0,0,1,1,1
1,643,1,2,0,34.56,1,2,1,0,1,1,1,1
2,986,1,1,1,50.31,1,1,1,0,2,0,0,1
2,869,0,1,0,40.58,0,1,0,2,0,0,1,1
2,635,1,0,0,4.93,1,0,1,1,0,2,0,1
1,1266,1,2,1,27.3,1,2,1,1,1,0,0,1
1,1413,0,1,1,39.39,0,1,1,0,0,1,0,1
2,769,0,1,0,81.18,0,1,1,1,0,1,0,1
2,815,0,0,0,40.9,0,2,0,1,0,1,0,1
1,926,1,1,0,36.92,1,2,1,0,1,2,1,1
2,864,1,2,0,42.78,1,2,0,0,0,0,1,1
2,1233,1,1,0,7.98,1,0,0,2,2,2,1,1
2,785,1,2,1,83.61,1,2,0,1,2,2,0,1
2,579,1,1,1,53.29,1,1,1,1,2,0,0,1
1,1070,1,2,1,32.85,1,2,0,2,2,1,1,1
0,960,1,0,0,26.59,0,0,0,0,0,0,0,1
0,164,0,0,1,73.99,1,0,1,2,0,2,0,-1
2,575,0,0,1,65.16,0,1,1,2,2,1,1,1
2,989,0,0,1,13.91,0,2,1,0,1,1,0,1
1,1095,1,0,0,50.64,0,1,1,1,2,1,0,1
0,1211,1,0,0,72.3,1,1,0,0,2,0,1,1
2,1053,1,2,0,40.06,0,1,0,1,0,1,1,1
2,1429,0,1,0,96.04,1,1,0,1,1,0,0,1
2,1388,1,2,0,96.72,0,1,1,1,1,0,1,1
1,263,0,2,1,24.48,0,0,0,1,0,2,1,1
0,933,0,2,0,60.91,1,0,0,0,2,2,0,1
1,1036,1,0,0,77.45,1,2,1,0,2,1,1,1
2,336,0,0,1,23.25,1,2,1,0,1,1,1,1
0,1379,0,2,0,29.69,0,2,0,2,0,0,0,-1
1,286,0,2,0,0.98,0,2,1,1,2,1,1,1
1,843,1,2,1,19.58,0,0,1,0,0,1,0,1
0,587,0,0,0,44.68,0,1,1,0,1,2,1,1
0,369,1,1,1,67.22,0,0,0,1,0,2,1,1
1,395,1,2,0,49.71,0,0,0,2,1,0,1,1
2,116,1,0,0,66.23,1,0,1,0,0,1,0,1
2,1085,1,2,0,91.1,0,2,1,0,2,2,1,-1
1,1373,1,2,0,86.44,0,1,1,1,1,1,1,1
1,1357,0,2,0,21.47,0,1,1,2,0,0,0,1
1,498,1,0,1,59.88,1,2,0,2,1,1,0,1
0,660,1,2,1,97.17,1,1,1,2,2,0,0,1
0,1078,1,0,1,58.78,1,0,0,0,1,1,0,1
0,83,0,1,1,70.25,0,0,1,1,2,0,1,1
1,448,0,2,1,18.41,1,2,1,1,2,1,1,1
1,412,0,0,0,14.68,0,2,1,0,1,1,1,1
1,1464,1,0,1,70.66,0,2,0,1,2,0,0,1
1,869,1,2,0,61.12,1,0,1,0,2,2,0,1
2,1276,1,0,1,44.93,0,1,1,2,1,2,1,1
2,882,1,0,0,13.08,1,2,0,0,0,1,1,1
0,1372,1,1,1,67.22,1,0,0,0,1,1,1,1
0,998,1,0,1,5.27,1,1,0,0,0,2,1,1
1,238,1,1,1,61.18,1,1,0,1,0,1,0,1
2,480,1,0,1,75.58,0,2,0,2,1,2,1,1
1,1048,1,2,0,61.33,1,2,1,0,0,1,0,1
0,1278,1,1,0,3.43,1,0,0,2,1,0,0,1
1,1329,1,0,1,85.16,1,1,1,2,2,2,0,1
2,248,0,1,1,12.24,0,0,0,1,1,2,1,1
2,798,1,2,1,51.63,0,2,1,1,2,0,1,1
2,784,1,1,1,26.01,0,0,0,0,2,1,0,1
0,1443,1,1,1,15.59,0,1,0,0,1,2,1,1
1,1124,1,0,1,14.76,1,1,0,0,2,2,0,1
0,1111,0,0,0,84.37,1,0,1,0,1,2,1,1
0,651,1,1,0,68.54,1,2,0,0,0,2,1,1
2,369,0,0,0,22.62,0,0,0,2,1,1,1,1
0,1479,0,1,1,76.41,0,0,1,0,0,0,1,-1
1,268,1,0,0,43.29,0,0,0,1,2,0,0,1
2,1169,1,2,0,21.32,1,2,0,0,1,2,1,1
2,771,0,0,0,95.92,1,0,1,1,2,0,1,1
2,150,1,1,1,16.06,0,1,0,0,2,2,1,1
1,1031,1,1,0,53.22,1,2,0,1,0,1,1,1
1,1250,0,0,1,38.64,1,2,1,2,0,0,1,1
1,1089,0,0,0,73.58,0,0,0,0,0,1,0,1
2,1278,1,2,1,49.95,0,0,0,1,1,0,1,1
0,712,0,0,0,58.18,0,2,1,0,2,1,0,1
1,1019,0,2,0,47.15,1,0,0,2,1,0,0,1
2,1284,1,0,1,40.44,1,1,0,2,0,1,0,1
0,904,0,1,1,71.22,1,2,1,1,2,0,1,1
0,1261,1,1,0,1.23,0,0,1,1,0,1,0,1
0,1385,0,0,0,95.9,0,0,0,0,1,2,1,-1
1,658,1,2,0,79.29,0,1,0,0,1,2,1,1
2,1022,1,0,0,78.68,1,2,1,0,1,0,0,1
2,366,0,0,0,34.86,1,1,0,2,2,2,0,1
2,1274,0,0,1,94.44,1,1,1,1,2,1,0,1
0,1362,1,1,0,69.29,0,2,1,2,1,0,0,1
1,399,1,2,0,35.36,1,0,0,0,0,2,0,1
1,382,0,2,1,84.06,0,0,1,2,0,1,1,1
2,896,1,0,0,63.03,0,2,1,2,2,1,1,1
0,1333,1,2,0,36.43,1,1,0,2,1,1,1,1
1,1068,0,0,0,97.91,1,0,1,1,0,2,1,1
1,1433,0,1,1,48.06,0,2,1,1,2,1,0,1
1,1497,0,1,1,46.54,1,0,0,1,2,1,1,1
2,169,1,0,1,12.6,0,0,1,2,2,1,0,-1
2,1354,0,2,0,80.99,1,0,0,2,0,0,0,-1
2,1417,0,2,1,34.68,1,2,1,2,2,2,0,-1
0,1054,0,0,0,90.29,1,1,0,2,0,2,1,1
2,560,1,0,1,58.06,1,2,0,2,1,0,1,1
2,1286,1,0,0,24.31,0,0,0,1,1,0,0,1
2,506,1,1,1,96.86,1,1,0,1,2,0,1,1
2,467,1,1,0,84.23,1,1,0,0,2,0,0,1
1,915,0,2,0,19.13,0,0,1,0,1,2,1,1
1,409,0,1,0,14.48,1,1,0,2,1,0,1,1
2,816,1,2,0,54.59,0,0,0,0,2,1,0,1
1,650,0,2,1,31.63,0,2,1,1,2,0,1,1
0,550,1,1,0,6.79,1,0,0,2,2,0,0,1
1,435,0,2,1,42.02,1,1,1,0,0,2,1,1
0,542,0,0,1,66.12,0,0,0,2,1,0,0,1
1,612,0,2,0,4.11,0,2,0,0,0,1,1,1
1,1105,0,2,1,62.95,1,2,0,1,2,0,0,1
0,1174,0,1,0,9.83,0,0,1,0,1,1,1,1
0,199,1,0,1,17.51,1,1,1,0,1,1,1,1
2,822,0,2,0,38.65,1,2,1,1,0,0,0,1
1,196,1,2,1,68.15,0,1,1,0,2,1,0,1
2,1259,1,0,0,15.25,1,2,0,0,2,1,0,1
1,757,1,1,1,82.83,1,1,1,2,2,1,1,1
2,454,1,1,1,80.6,0,0,1,2,1,2,1,1
1,849,0,2,0,58.02,0,1,1,1,0,0,0,1
1,1474,0,2,0,89.79,0,2,1,2,0,0,1,-1
0,124,0,0,0,95.92,1,0,0,2,0,0,1,-1
1,1180,0,0,0,96.12,1,1,1,2,1,2,1,1
1,1093,1,2,0,11.14,0,1,1,0,1,0,1,1
1,1071,0,0,1,30.95,1,2,1,1,0,1,1,1
1,605,0,2,1,2.14,0,1,0,2,1,2,1,1
0,792,0,2,0,39.35,0,1,1,2,0,0,1,1
0,329,1,2,0,5.74,0,1,0,2,2,2,1,-1
1,244,0,0,0,20.13,0,1,0,1,2,2,1,1
0,1284,1,0,0,71.9,0,1,1,1,0,1,0,1
0,1254,1,2,1,29.66,1,1,1,1,2,0,1,1
0,612,1,2,0,33.77,1,0,0,2,0,2,1,1
